Time,A,Angry,Blink,Blink_L,Blink_R,E,Fun,I,Joy,LookDown,LookLeft,LookRight,LookUp,Neutral,O,Sorrow,Surprised,U
9.872705,0.4430315,0,4.58711E-05,0,0,0.0985148,0,0,0,0,0,0,0,1,0,0,0,5.622322E-12
9.97779,0.4304502,0,0,0,0,0.05838765,0,1.88166E-09,0,0,0,0,0,1,0.1029941,0,0,2.809742E-11
10.08355,0.3908949,0,0,0,0,0.02532411,0,0.0875,0,0,0,0,0,1,0.1721393,0,0,5.000737E-12
10.19159,0.6292114,0,0.3176961,0,0,0.009877279,0,0.3304633,0,0,0,0,0,1,0.03044793,0,0,8.845282E-13
10.29887,0.1719962,0,0.9621632,0,0,3.370326E-25,0,0.719237,0,0,0,0,0,1,0.005452746,0,0,1.584051E-13
10.40753,0.2493616,0,0.6489958,0,0,5.998456E-26,0,0.5998764,0,0,0,0,0,1,0.0009704717,0,0,2.819271E-14
10.5126,0.2879833,0,0,0,0,1.423462E-26,0,0.6762402,0,0,0,0,0,1,0.0002302975,0,0,6.690262E-15
10.62479,0.2741308,0,0,0,0,2.533456E-27,0,0.7194701,0,0,0,0,0,1,4.0988E-05,0,0,1.190723E-15
10.73454,0.09031773,0,0,0,0,4.509008E-28,0,0.5667465,0,0,0,0,0,1,0.2050854,0,0,2.119231E-16
10.84971,0.8379317,0,0,0,0,8.025067E-29,0,0.1008687,0,0,0,0,0,1,0.0365008,0,0,3.771776E-17
10.96385,0.3609872,0,0,0,0,1.428289E-29,0,0.5518392,0,0,0,0,0,1,0.006496359,0,0,6.71295E-18
11.07926,0.6110843,0,0,0,0,2.542048E-30,0,0.3673806,0,0,0,0,0,1,0.001156212,0,0,1.194761E-18
11.18978,0.1087599,0,0,0,0,4.524299E-31,0,0.06538584,0,0,0,0,0,1,0.000205781,0,0,2.126418E-19
11.30315,0.01935692,0,0,0,0,8.05228E-32,0,0.01163727,0,0,0,0,0,1,3.662459E-05,0,0,3.784566E-20
11.41389,0.03635145,0,0,0,0,0.004930828,0,0.2208212,0,0,0,0,0,1,0.1312565,0,0,2.324329E-13
11.52836,0.0006131566,0,0,0,0,2.550668E-33,0,0.2315622,0,0,0,0,0,1,0.1387173,0,0,1.198813E-21
11.63598,0.0001091287,0,0.1848932,0,0,4.539642E-34,0,0.0412131,0,0,0,0,0,1,0.0246887,0,0,2.133629E-22
11.74485,1.942256E-05,0,0.2841303,0,0,8.079587E-35,0,0.007335046,0,0,0,0,0,1,0.004394058,0,0,3.797402E-23
11.85635,3.456798E-06,0,0.218312,0,0,1.437993E-35,0,0.001305481,0,0,0,0,0,1,0.3288742,0,0,6.758558E-24
11.96861,4.614269E-07,0,0,0,0,1.919489E-36,0,0.0001742606,0,0,0,0,0,1,0.04389941,0,0,9.021586E-25
12.07638,0.02373058,0,0,0,0,0.00109575,0,0.6022875,0,0,0,0,0,1,0.01041754,0,0,5.165224E-14
12.1899,0.004223533,0,0,0,0,0.000456074,0,0.7648115,0,0,0,0,0,1,0.001854098,0,0,2.149874E-14
12.30159,0.03041479,0,0,0,0,0.7624665,0,0.1479852,0,0,0,0,0,1,0.0003299896,0,0,8.352554E-15
12.41719,0.005413179,0,0,0,0,0.1357027,0,0.8480309,0,0,0,0,0,1,5.873106E-05,0,0,1.206957E-27
12.52614,0.001284573,0,0,0,0,0.03220288,0,0.3646866,0,0,0,0,0,1,0.5780811,0,0,2.864166E-28
12.64033,0.09778722,0,0,0,0,0.00573142,0,0.06490639,0,0,0,0,0,1,0.2004446,0,0,0.249875
12.75293,0.01740402,0,0,0,0,0.00102007,0,0.1365519,0,0,0,0,0,1,0.5442252,0,0,0.1828309
12.86591,0.003097542,0,0,0,0,0.0001815505,0,0.2575797,0,0,0,0,0,1,0.2368262,0,0,0.03253997
12.98195,0.1224263,0,0,0,0,0.2499573,0,0.1395936,0,0,0,0,0,1,0.04214998,0,0,0.005791416
13.09292,0.3280392,0,0,0,0,0.4288932,0,0.1998447,0,0,0,0,0,1,0.00750179,0,0,0.001030748
13.20416,0.5890172,0,0,0,0,0.07094032,0,0.3386312,0,0,0,0,0,1,0.00124082,0,0,0.000170489
13.31913,0.3464208,0,0,0,0,0.01358577,0,0.598738,0,0,0,0,0,1,0.0002376294,0,0,3.265032E-05
13.43405,0.1104347,0,0,0,0,0.002417975,0,0.7397901,0,0,0,0,0,1,4.229292E-05,0,0,5.811055E-06
13.5475,0.06965502,0,0,0,0,0.0004303477,0,0.3541277,0,0,0,0,0,1,0.4335579,0,0,1.034243E-06
13.66034,0.6475874,0,0,0,0,7.565162E-05,0,0.2761208,0,0,0,0,0,1,0.07621596,0,0,1.818115E-07
13.77681,0.6382286,0,0.1407329,0,0,1.257068E-05,0,0.3490943,0,0,0,0,0,1,0.01266445,0,0,3.021078E-08
13.89124,0.4883364,0,0.379637,0,0,2.262798E-06,0,0.2762399,0,0,0,0,0,1,0.2354215,0,0,5.438123E-09
14.00264,0.09201382,0,0.5766084,0,0,4.263633E-07,0,0.05204995,0,0,0,0,0,1,0.8559358,0,0,1.024668E-09
14.11622,0.2400231,0,0.207708,0,0,7.685238E-08,0,0.1843821,0,0,0,0,0,1,0.4661346,0,0,1.846973E-10
14.2287,0.316449,0,0,0,0,1.367807E-08,0,0.1297155,0,0,0,0,0,1,0.08296195,0,0,3.287215E-11
14.34356,0.4610086,0,0,0,0,9.923203E-08,0,0.2543366,0,0,0,0,0,1,0.01476545,0,0,5.850536E-12
14.45912,0.6901897,0,0,0,0,4.262138E-08,0,0.1428251,0,0,0,0,0,1,0.1432389,0,0,1.04127E-12
14.56425,0.4889156,0,0,0,0,1.028173E-10,0,0.03389305,0,0,0,0,0,1,0.03399125,0,0,2.470982E-13
14.68054,0.08701646,0,0,0,0,1.829928E-11,0,0.006032236,0,0,0,0,0,1,0.006049713,0,0,4.397817E-14
14.79128,0.01548706,0,0,0,0,3.256878E-12,0,0.001073608,0,0,0,0,0,1,0.001076719,0,0,7.827169E-15
14.90633,0.05859365,0,0,0,0,1.112686E-08,0,0,0,0,0,0,0,1,0,0,0,0.0004023187
15.02043,0.3083126,0,0,0,0,4.167185E-09,0,0,0,0,0,0,0,1,0,0,0,0.07833549
15.1378,0.4407818,0,0.3978854,0,0,0.003213406,0,0,0,0,0,0,0,1,0,0,0,0.06031082
15.2421,0.487414,0,0.6292541,0,0,0.005882023,0,0,0,0,0,0,0,1,0,0,0,0.03629659
15.35759,0.4730408,0,0.5259055,0,0,0.002353768,0,0,0,0,0,0,0,1,0,0,0,0.08928385
15.4563,0.5183629,0,0.03312111,0,0,0.001096743,0,0,0,0,0,0,0,1,0,0,0,0.07823794
15.57412,0.5584128,0,0,0,0,0.0003923863,0,0,0,0,0,0,0,1,0,0,0,0.121441
15.68397,0.5970327,0,0,0,0,0.0001723841,0,0,0,0,0,0,0,1,0,0,0,0.1275697
15.79535,0.4792293,0,0,0,0,0.01794762,0,0.0001405415,0,0,0,0,0,1,0.0001409487,0,0,0.5025416
15.90396,0.2555919,0,0,0,0,0.009572172,0,0.2565618,0,0,0,0,0,1,0.3177318,0,0,0.1605423
16.01271,0.1119954,0,0,0,0,0.00419434,0,0.4624637,0,0,0,0,0,1,0.3103269,0,0,0.03219644
16.12239,1.553958E-05,0,0,0,0,3.267922E-15,0,0.4933194,0,0,0,0,0,1,0.301838,0,0,0.005730274
16.2313,2.765712E-06,0,0,0,0,5.8162E-16,0,0.280061,0,0,0,0,0,1,0.1690771,0,0,0.001019866
16.34677,3.691781E-07,0,0,0,0,7.76369E-17,0,0.03738363,0,0,0,0,0,1,0.02256907,0,0,0.0001361356
16.46052,6.570576E-08,0,0,0,0,1.38177E-17,0,0.006653482,0,0,0,0,0,1,0.00401681,0,0,2.422921E-05
16.56394,0.08471974,0,0,0,0,0.003172839,0,0,0,0,0,0,0,1,0,0,0,0.008985811
16.67667,0.04321703,0,0,0,0,0.001618521,0,0,0,0,0,0,0,1,0,0,0,0.004583821
16.79084,0.07500001,0,0.2025715,0,0,0.5718499,0,0.1756661,0,0,0,0,0,1,0.0004021346,0,0,0.001958264
16.90568,0.05487671,0,0.4751871,0,0,0.101777,0,0.6750392,0,0,0,0,0,1,7.15713E-05,0,0,0.0006729382
17.0187,0.1738294,0,0.9812265,0,0,0.01811412,0,0.2332284,0,0,0,0,0,1,1.273815E-05,0,0,0.2498751
17.13667,0.1621879,0,0,0,0,0.003223924,0,0.3477597,0,0,0,0,0,1,2.267118E-06,0,0,0.4288016
17.25357,0.3717941,0,0,0,0,0.0005737891,0,0.3221721,0,0,0,0,0,1,0.1312504,0,0,0.07631747
17.36848,0.1817964,0,0,0,0,0.0001021221,0,0.5839754,0,0,0,0,0,1,0.0965287,0,0,0.01358287
17.4758,0.1967601,0,0.2428971,0,0,1.817555E-05,0,0.6793501,0,0,0,0,0,1,0.01718004,0,0,0.002417459
17.59348,0.2742312,0,0.4649486,0,0,4.313143E-06,0,0.5700997,0,0,0,0,0,1,0.004076903,0,0,0.0005736744
17.7102,0.459818,0,0.3638887,0,0,7.676468E-07,0,0.2658698,0,0,0,0,0,1,0.0007256012,0,0,0.0001021017
17.8246,0.6391258,0,0.007742038,0,0,1.35299E-07,0,0.3607283,0,0,0,0,0,1,0.0001278884,0,0,1.79956E-05
17.93864,0.2117645,0,0,0,0,2.431625E-08,0,0.4619989,0,0,0,0,0,1,0.2051011,0,0,3.234209E-06
18.05505,0.03768954,0,0,0,0,4.32777E-09,0,0.4932366,0,0,0,0,0,1,0.2831101,0,0,5.756198E-07
18.16977,0.006707927,0,0,0,0,0.8217748,0,0.08778553,0,0,0,0,0,1,0.05038751,0,0,1.024479E-07
18.28512,0.3429908,0,0,0,0,0.2846445,0,0.1523427,0,0,0,0,0,1,0.008967895,0,0,1.823353E-08
18.39831,0.06104499,0,0,0,0,0.0506606,0,0.02711372,0,0,0,0,0,1,0.001596093,0,0,3.245177E-09
18.51597,0.0108647,0,0,0,0,0.009016499,0,0.2892007,0,0,0,0,0,1,0.0002840702,0,0,1.353746E-05
18.63107,0.001933683,0,0,0,0,0.001604743,0,0.09893245,0,0,0,0,0,1,5.05584E-05,0,0,1.027954E-10
18.74646,0.342141,0,0,0,0,0.0002856098,0,0.1543266,0,0,0,0,0,1,8.998309E-06,0,0,5.569178E-06
18.86234,0.4719045,0,0,0,0,5.08324E-05,0,0.1918711,0,0,0,0,0,1,1.601506E-06,0,0,2.308662E-06
18.97689,0.1532027,0,0,0,0,9.047076E-06,0,0.06183448,0,0,0,0,0,1,2.850336E-07,0,0,5.795306E-13
19.08982,0.02726679,0,0,0,0,1.610185E-06,0,0.01100521,0,0,0,0,0,1,5.072986E-08,0,0,1.03144E-13
19.2043,0.004852904,0,0,0,0,2.865784E-07,0,0.2910212,0,0,0,0,0,1,0.1734375,0,0,7.098188E-07
